86	45	87
35	82	88
72	90	4
59	1	69
94	15	30
80	54	39
44	77	35
90	43	87
43	68	78
74	5	87
49	30	39
61	4	21
70	7	99
41	96	65
63	66	82
91	7	1
27	84	38
13	63	10
77	89	72
79	57	76
32	15	63
64	35	80
52	68	9
45	38	18
87	29	21
21	29	100
30	15	59
84	63	40
98	95	17
20	56	82
2	34	64
57	78	91
24	60	66
79	2	2
99	61	68
76	16	55
80	80	33
73	52	44
4	94	51
16	45	91
91	81	60
68	45	21
29	96	29
68	13	94
26	10	4
43	100	61
14	61	14
61	75	88
16	32	96
51	35	86
92	83	25
86	97	38
96	40	3
68	8	43
100	14	31
95	82	52
31	16	56
9	38	84
35	46	32
85	60	42
56	80	92
43	63	62
87	94	11
2	25	36
23	54	23
47	45	19
56	78	1
69	98	26
29	10	55
74	100	98
97	49	45
52	26	33
71	13	77
50	49	16
80	64	15
52	52	93
57	57	66
98	53	5
7	82	23
11	36	43
35	71	48
60	86	88
55	84	73
59	18	29
63	51	37
9	74	31
41	78	81
68	63	100
82	99	47
44	56	79
75	88	43
69	73	96
45	12	59
29	38	95
54	79	44
44	9	36
91	71	12
20	22	29
23	1	2
71	81	70
